Id|CampaignId|MerchantId|CategoryId|Title|Description|WhenStarts|WhenExpires|TermsAndConditions|WhenLastUpdated|HasBarcodeImage|RedemptionLimit|RedemptionText|RedemptionCountUnlimited|CodeType|PremiumPlacement|Status|AlternativeTitle|AlternativeDescription|AlternativeTermsAndConditions|ApplyGeoFenceFilters|PromoImage|ExtendedData|DailyStartTime|DailyEndTime|DaysOfWeek|BaseWeight|NoCompeteGroup|IsGiftable|InStoreRedemptions|IsReward|AltImage|ContentUrl|IsRespawning|RespawnsInDays|EnableDistanceWeight|TagWeights|ApplyBeaconFilter|BeaconGroupIds|IsAvailableAllStores|ConsumerTargetingFilters|OperatingConditionsFilters|ContentFilters|GeofenceIds|Subcategories
2689|43|579|40|1 Happy Meal = Fr. 5.-|1 Happy Meal = Fr. 5.-|2018-01-29 00:00:00 +00:00|2018-02-11 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||32006872|True|1||1||||False|op2689_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Happy_Meal_Family_Regular, Switzerland_Growth_Active"||||
2852|42|579|38|1 Double Cheeseburger = Fr. 3.80|1 Double Cheeseburger = Fr. 3.80|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||72428528|True|1||1||||False|op2677_en.png||||0,1,2,3,4,5,6|61||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"||||
2853|42|579|52|1 Apfeltasche = Fr. 1.-|1 Apfeltasche = Fr. 1.-|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||11811565|True|1||1||||False|op2676_en.png||||0,1,2,3,4,5,6|60||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"||||
2854|43|579|38|1 Big Tasty = Fr. 7.30|1 Big Tasty = Fr. 7.30|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||11842699|True|1||1||||False|op2678_en.png||||0,1,2,3,4,5,6|1000||False||False|||False||False||False||True|" Switzerland_Growth_Active"||||
2856|43|579|38|2 Cheeseburger + 1 Softdrink (0.4l) = Fr. 5.-|2 Cheeseburger + 1 Softdrink (0.4l) = Fr. 5.-|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||0502156035009|True|1||1||||False|op2409_en.png|"""{hideexpiredate:true}"""|||0,1,2,3,4,5,6|55||False||False|||False||False||False||True|" Beef_Sandwiches_And_Wraps_Regular, Switzerland_Growth_Active"||||
2857|43|579|39|"4 Chicken McNuggets = Fr. 2.- "|"4 Chicken McNuggets = Fr. 2.- "|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||46540010|True|1||1||||False|op2406_en.png|{hideexpiredate:true}|||0,1,2,3,4,5,6|40||False||False|||False||False||False||True|" Chicken_Sandwiches_And_Wraps_Regular, Switzerland_Growth_Active"||||
2858|43|579|40|1 Happy Meal = Fr. 5.-|1 Happy Meal = Fr. 5.-|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||32006872|True|1||1||||False|op2689_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Happy_Meal_Family_Regular, Switzerland_Growth_Active"||||
2860|42|579|38|2 Cheeseburger + 1 Softdrink (0.4l) = Fr. 5.-|2 Cheeseburger + 1 Softdrink (0.4l) = Fr. 5.-|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||0502156035009|True|1||1||||False|op2409_en.png|"""{hideexpiredate:true}"""|||0,1,2,3,4,5,6|55||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"||||
2861|43|579|38|1 Double Cheeseburger = Fr. 3.80|1 Double Cheeseburger = Fr. 3.80|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||72428528|True|1||1||||False|op2677_en.png||||0,1,2,3,4,5,6|61||False||False|||False||False||False||True|" Switzerland_Growth_Active"||||
2862|43|579|52|1 Apfeltasche = Fr. 1.-|1 Apfeltasche = Fr. 1.-|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-06-29 09:00:55 +00:00|False||11811565|True|1||0||||False|op2676_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"||||
2863|44|579|38|1 Double Cheeseburger = Fr. 3.80|1 Double Cheeseburger = Fr. 3.80|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||72428528|True|1||1||||False|op2677_en.png||||0,1,2,3,4,5,6|61||False||False|||False||False||False||True|" Switzerland_Growth_InActive"||||
2864|44|579|52|1 Apfeltasche = Fr. 1.-|1 Apfeltasche = Fr. 1.-|2018-02-12 00:00:00 +00:00|2018-02-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||11811565|True|1||1||||False|op2676_en.png||||0,1,2,3,4,5,6|60||False||False|||False||False||False||True|" Switzerland_Growth_InActive"||||
2950|40|579|39|"20180218|1_MM_CBO|9.90|na"|"20180218|1_MM_CBO|9.90|na"|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||69365294|True|1||1||||False|op2950_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False|
2951|40|579|38|"20180218|1_MM_BigTasty|10.90|na"|1 Menu Medium Big Tasty* = Fr. 10.90|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||82609436|True|1||1||||False|op2951_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True||
2952|42|579|40|"20180218|1_HM|5.00|na"|1 Happy Meal = Fr. 5.-|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||32008531|True|1||1||||False|op2952_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
2953|42|579|38|"20180218|1_Double_Cheeseburger|3.80|na"|1 Double Cheeseburger = Fr. 3.80|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||72426357|True|1||1||||False|op2953_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
2954|42|579|41|"20180218|1_small_fries|1.50|na"|1 Pommes Frites Small = Fr. 1.50|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||33027548|True|1||1||||False|op2954_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
2955|42|579|39|"20180218|4_chicken_nuggets|2.00|na"|4 Chicken McNuggets = Fr. 2.-|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||46542717|True|1||1||||False|op2955_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
2956|43|579|38|"20180218|1_Double_Cheeseburger|3.80|na"|1 Double Cheeseburger = Fr. 3.80|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||72426357|True|1||1||||False|op2953_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"|
2957|43|579|40|"20180218|1_HM|5.00|family"|1 Happy Meal = Fr. 5.-|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||32008531|True|1||1||||False|op2952_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Happy_Meal_Family_Regular, Switzerland_Growth_Active"|
2958|43|579|39|"20180218|4_chicken_nuggets|2.00|na"|4 Chicken McNuggets = Fr. 2.-|2018-02-19 00:00:00 +00:00|2018-03-04 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||46542717|True|1||1||||False|op2955_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"|
3125|40|579|39|"20180305|1_MM_CMN|8.90|na"|1 Menu Medium Chicken McNuggets = Fr. 8.90|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16391741|True|1||1||||False|op3125_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True||
3127|40|579|38|"20180305|1_MM_BigMac_1_HM|15.90|na"|1 Menu Medium Big Mac + 1 Happy Meal = Fr. 15.90|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16482364|True|1||1||||False|op3127_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True||
3129|42|579|38|"20180305|1_MM_Royal_Cheese|9.90|na"|1 Menu Medium Royal Cheese = Fr. 9.90|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16468351|True|1||1||||False|op3129_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3130|42|579|41|"20180305|1_small_fries|1.50|na"|1 Small Fries|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||33021461|True|1||1||||False|op3130_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3133|42|579|39|"20180305|4_chicken_nuggets|2.00|na"|4 Chicken McNuggets = Fr. 2.-|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||46542878|True|1||1||||False|op3133_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3134|42|579|40|"20180305|1_HM|5.00|na"|1 Happy Meal = Fr. 5.-|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||32004977|True|1||1||||False|op3134_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3136|43|579|38|"20180305|1_MM_Royal_Cheese|9.90|na"|1 Menu Medium Royal Cheese = Fr. 9.90|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16468351|True|1||1||||False|op3129_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"|
3138|43|579|39|"20180305|1_Mc_Chicken|5.00|na"|1 McChicken = Fr. 5.-|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16471375|True|1||1||||False|op3138_en.png|{hideexpiredate:true}|||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"|
3139|43|579|38|"20180305|1_MM_Big_Mac_1_Mc_Flurry|13.00|beef"|1 Menu Medium Big Mac = 1 McFlurry|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16319141|True|1||1||||False|op3139_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Beef_Sandwiches_And_Wraps_Regular, Switzerland_Growth_Active"|
3141|43|579|39|"20180305|1_MM_Mc_Chicken_1_Mc_Flurry|12.80|chicken"|1 Menu Medium McChicken = 1 McFlurry|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16324695|True|1||1||||False|op3141_en.png|{hideexpiredate:true}|||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Chicken_Sandwiches_And_Wraps_Regular, Switzerland_Growth_Active"|
3170|42|579|52|"20180305|1_mc_flurry|2.50|na"|/|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||10883594|True|1||2||||False|op3170_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferB"|
3219|40|579|52|"20180312|1_Cofeee_1_Croissant|2.00|na"|1 Coffee = Croissant|2018-03-12 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||18983814|True|1||1||||False|op3219_en.png||360|660|0,1,2,3,4,5,6|||False||False|||False||False||False||True||
3227|40|579|52|"20180312|1_Coffee|1.00|na"|1 Coffee = Fr. 1.-|2018-03-12 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||18972153|True|1||1||||False|op3227_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True||
3314|40|579|52|"20180319|1_Coffee|1.00|na"|1 Coffee = Fr. 1.-|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||18972153|True|1||1||||False|op3227_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True||
3315|40|579|52|"20180319|1_Cofeee_1_Croissant|2.00|na"|1 Coffee = Croissant|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||18983814|True|1||1||||False|op3219_en.png||360|660|0,1,2,3,4,5,6|||False||False|||False||False||False||True||
3317|40|579|39|"20180319|1_MM_CMN|8.90|na"|1 Menu Medium Chicken McNuggets = Fr. 8.90|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16391741|True|1||1||||False|op3125_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True||
3319|42|579|38|"20180319|1_MM_Royal_Cheese|9.90|na"|1 Menu Medium Royal Cheese = Fr. 9.90|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16468351|True|1||1||||False|op3129_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3321|42|579|41|"20180319|1_small_fries|1.50|na"|1 Small Fries|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||33021461|True|1||1||||False|op3130_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3323|42|579|39|"20180319|4_CMN|2.00|na"|4 Chicken McNuggets = Fr. 2.-|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||46542878|True|1||1||||False|op3133_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3325|42|579|40|"20180319|1_HM|5.00|na"|1 Happy Meal = Fr. 5.-|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||32004977|True|1||1||||False|op3134_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3327|43|579|38|"20180319|1_MM_Royal_Cheese|9.90|na"|1 Menu Medium Royal Cheese = Fr. 9.90|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16468351|True|1||1||||False|op3129_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"|
3329|43|579|39|"20180319|1_Mc_Chicken|5.00|na"|1 McChicken = Fr. 5.-|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16471375|True|1||1||||False|op3138_en.png|{hideexpiredate:true}|||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"|
